timestamp,area_pixeles,temp_min,temp_max,temp_avg
1772662497.9122288,1111,77.0,198.0,164.77
1772662497.9147859,1494,26.0,172.0,120.31
1772662497.9147859,835,48.0,152.0,101.76
1772662497.9147859,1040,7.0,152.0,92.82
1772662497.9147859,2998,13.0,169.0,116.47
1772662497.922454,2191,33.0,131.0,89.93
1772662498.0107021,1697,42.0,183.0,116.44
1772662498.012448,1046,65.0,174.0,113.16
1772662498.0142372,1180,50.0,169.0,120.71
1772662498.0142372,1777,14.0,154.0,73.94
1772662498.0142372,1549,0.0,101.0,58.79
1772662498.216651,1375,7.0,171.0,110.2
1772662498.32616,1215,17.0,149.0,73.62
1772662498.6145284,1743,69.0,198.0,157.2
1772662498.6172569,924,52.0,174.0,134.48
1772662498.6172569,972,114.0,193.0,160.0
1772662498.6192646,838,50.0,164.0,104.56
1772662498.6212733,821,87.0,165.0,122.3
1772662498.6232834,1220,20.0,141.0,69.54
1772662498.6250386,2211,40.0,169.0,101.66
1772662498.7091782,908,43.0,152.0,95.17
1772662498.7091782,1187,35.0,147.0,88.96
1772662498.7131124,2323,14.0,164.0,91.86
1772662498.7131124,1937,35.0,129.0,88.1
1772662498.8081932,7130,45.0,184.0,109.21
1772662498.809938,1340,38.0,160.0,90.63
1772662498.8110766,1927,93.0,180.0,149.1
1772662498.8130949,2376,29.0,160.0,87.23
1772662498.8130949,1724,93.0,193.0,156.12
1772662498.817538,880,45.0,122.0,70.42
1772662498.8202937,1725,108.0,202.0,157.89
1772662498.8226497,2586,31.0,164.0,102.38
1772662498.825864,2231,36.0,186.0,127.25
1772662498.8303878,3515,8.0,139.0,54.91
1772662498.8344264,11132,14.0,176.0,128.6
1772662498.8379548,5043,8.0,164.0,68.39
1772662498.8399637,3135,5.0,119.0,56.45
1772662498.9240012,1550,83.0,191.0,156.53
1772662498.9255102,1115,71.0,189.0,144.84
1772662499.0894747,1721,17.0,169.0,117.73
1772662499.1169515,1338,6.0,98.0,53.14
1772662499.225306,844,46.0,148.0,94.52
1772662499.227648,1208,36.0,125.0,85.96
1772662499.319183,1277,63.0,181.0,125.66
1772662499.319183,1331,65.0,176.0,122.39
1772662499.3276339,2288,9.0,156.0,72.29
1772662499.3291476,1520,13.0,109.0,57.57
1772662499.7219534,1114,74.0,183.0,128.69
1772662499.7240243,1812,63.0,176.0,116.02
1772662499.7255337,2330,44.0,170.0,124.59
1772662499.7285357,2284,16.0,156.0,79.92
1772662499.7295365,1213,20.0,108.0,70.56
1772662499.8182383,2433,80.0,198.0,156.95
1772662499.8203163,1119,91.0,171.0,135.78
1772662499.8224998,1400,83.0,181.0,144.6
1772662499.8235047,903,6.0,116.0,65.34
1772662499.8255115,1122,65.0,164.0,112.19
1772662499.826749,1578,16.0,152.0,71.38
1772662499.8291829,3425,37.0,180.0,100.58
1772662499.9105885,1786,60.0,160.0,117.84
1772662499.912573,868,56.0,168.0,116.46
1772662499.9135714,1060,43.0,150.0,88.05
1772662499.915081,2590,41.0,176.0,120.12
1772662499.9160936,2436,39.0,161.0,96.55
1772662499.917093,4411,18.0,171.0,101.43
1772662499.919094,4144,1.0,145.0,97.93
1772662500.0292897,2546,61.0,178.0,117.97
1772662500.0346794,3239,45.0,173.0,102.71
1772662500.0366797,1412,37.0,122.0,90.55
1772662500.0386786,1023,94.0,184.0,150.33
1772662500.0406787,1980,37.0,145.0,85.83
1772662500.0426562,918,134.0,203.0,179.41
1772662500.0447128,953,25.0,192.0,86.26
1772662500.046977,2989,23.0,173.0,104.53
1772662500.0480428,3587,5.0,144.0,52.53
1772662500.051366,6857,7.0,187.0,81.29
1772662500.0539682,15382,1.0,184.0,109.32
1772662500.1244965,2386,78.0,207.0,172.56
1772662500.128005,5744,44.0,195.0,118.74
1772662500.1303182,1466,44.0,170.0,105.61
1772662500.1313183,1862,93.0,186.0,148.29
1772662500.1333184,1743,104.0,202.0,155.89
1772662500.1353168,844,98.0,187.0,150.5
1772662500.1373174,8090,31.0,168.0,89.05
1772662500.1383178,3610,32.0,165.0,87.36
1772662500.1408253,10250,12.0,183.0,128.45
1772662500.1448247,6782,30.0,207.0,132.62
1772662500.1468275,3969,22.0,139.0,96.51
1772662500.2155194,1769,57.0,186.0,135.55
1772662500.217559,1173,66.0,182.0,120.34
1772662500.313397,1893,14.0,150.0,65.48
1772662500.315397,1220,8.0,97.0,49.9
1772662500.4256043,1125,95.0,201.0,170.9
